FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=97.0 deg, Strike=7.0 deg
SITES:            15
   pb44
   pb43
   pb42
   pb41
   pb40
   pb39
   pb37
   pb35
   pb23
   pb25
   pb27
   pb29
   pb30
   pb32
   pb33
OFFSETS (M):      
   0.0
   2003.4
   3006.2
   3792.8
   4340.2
   4710.8
   5749.0
   6464.4
   7263.5
   7861.3
   8758.1
   9701.6
   10250.2
   11974.7
   14004.2
FREQUENCIES:      19
   7.812500e+01
   6.250000e+01
   4.687500e+01
   3.906250e+01
   3.125000e+01
   2.343750e+01
   1.953125e+01
   1.562500e+01
   1.171875e+01
   9.765625e+00
   7.812500e+00
   6.250000e+00
   4.687500e+00
   3.906250e+00
   3.125000e+00
   2.343750e+00
   1.953125e+00
   1.562500e+00
   1.171875e+00
DATA BLOCKS:      1140
SITE  FREQ  TYPE   DATUM    ERROR   
  5     5     5      0.7672   0.0434
  5     5     6     51.5706   2.8660
  5     6     1      0.6041   0.0434
  5     6     2     51.8647   2.8660
  5     6     5      0.7512   0.0434
  5     6     6     51.2509   2.8660
  5     7     1      0.5961   0.0434
  5     7     2     51.6675   2.8660
  5     7     5      0.7355   0.0434
  5     7     6     51.2194   2.8660
  5     8     1      0.5788   0.0434
  5     8     2     51.7769   2.8660
  5     8     5      0.7050   0.0434
  5     8     6     51.4503   2.8660
  5     9     1      0.5917   0.0434
  5     9     2     51.0253   2.8660
  5     9     5      0.7289   0.0434
  5     9     6     51.0561   2.8660
  5     10    1      0.5193   0.0434
  5     10    2     53.3104   2.8660
  5     10    5      0.6347   0.0434
  5     10    6     51.9311   2.8660
  5     11    1      0.5302   0.0434
  5     11    2     52.0287   2.8660
  5     11    5      0.6460   0.0434
  5     11    6     50.7181   2.8660
  5     12    1      0.4739   0.0434
  5     12    2     49.5480   2.8660
  5     12    5      0.6419   0.0434
  5     12    6     46.9732   2.8660
  5     13    1      0.4195   0.0434
  5     13    2     44.7118   2.8660
  5     13    5      0.6007   0.0434
  5     13    6     42.2862   2.8660
  5     14    1      0.3706   0.0434
  5     14    2     40.5199   2.8660
  5     14    5      0.5590   0.0434
  5     14    6     37.6300   2.8660
  5     15    1      0.3761   0.0434
  5     15    2     39.3052   2.8660
  5     15    5      0.5793   0.0434
  5     15    6     34.7141   2.8660
  5     16    1      0.3900   0.0434
  5     16    2     36.8848   2.8660
  5     16    5      0.6162   0.0434
  5     16    6     32.5548   2.8660
  5     17    1      0.3762   0.0518
  5     17    2     33.7511   3.4212
  5     17    5      0.6189   0.0434
  5     17    6     33.0036   2.8660
  5     18    1      0.4069   0.0530
  5     18    2     31.0036   3.4984
  5     18    5      0.6519   0.0434
  5     18    6     32.6193   2.8660
  5     19    1      0.4377   0.0569
  5     19    2     27.2253   3.7540
  5     19    5      0.7154   0.0461
  5     19    6     29.3811   3.0422
  6     1     1      0.6973   0.0434
  6     1     2     53.0219   2.8660
  6     1     5      0.7801   0.0434
  6     1     6     53.2345   2.8660
  6     2     1      0.6695   0.0434
  6     2     2     51.5568   2.8660
  6     2     5      0.7530   0.0434
  6     2     6     51.2129   2.8660
  6     3     1      0.6727   0.0434
  6     3     2     49.9698   2.8660
  6     3     5      0.7644   0.0434
  6     3     6     49.8744   2.8660
  6     4     1      0.6599   0.0434
  6     4     2     51.1154   2.8660
  6     4     5      0.7442   0.0434
  6     4     6     51.0121   2.8660
  6     5     1      0.6384   0.0434
  6     5     2     51.1795   2.8660
  6     5     5      0.7366   0.0434
  6     5     6     50.6545   2.8660
  6     6     1      0.6331   0.0434
  6     6     2     50.2009   2.8660
  6     6     5      0.7140   0.0434
  6     6     6     50.3065   2.8660
  6     7     1      0.6282   0.0434
  6     7     2     50.2609   2.8660
  6     7     5      0.7085   0.0434
  6     7     6     50.4534   2.8660
  6     8     1      0.5894   0.0434
  6     8     2     50.8449   2.8660
  6     8     5      0.6641   0.0434
  6     8     6     51.2208   2.8660
  6     9     1      0.5666   0.0434
  6     9     2     50.6649   2.8660
  6     9     5      0.6918   0.0434
  6     9     6     49.4987   2.8660
  6     10    1      0.5133   0.0434
  6     10    2     52.5693   2.8660
  6     10    5      0.5858   0.0434
  6     10    6     51.9055   2.8660
  6     11    1      0.5572   0.0434
  6     11    2     51.0754   2.8660
  6     11    5      0.6233   0.0434
  6     11    6     50.7807   2.8660
  6     12    1      0.5620   0.0434
  6     12    2     51.2883   2.8660
  6     12    5      0.6468   0.0434
  6     12    6     50.7931   2.8660
